Episode 209, Goal reached at timestep: 403, States explored: 70, Total reward: -96.62686204998278
Episode 210, Goal reached at timestep: 340, States explored: 70, Total reward: -76.81088735169271
Episode 211, Goal reached at timestep: 147, States explored: 70, Total reward: -37.30268292054234
Episode 212, Goal reached at timestep: 369, States explored: 70, Total reward: -62.20208239881343
Episode 213, Goal reached at timestep: 271, States explored: 70, Total reward: -52.35604176897488
Episode 214, Goal reached at timestep: 456, States explored: 70, Total reward: -84.22511665189914
Episode 215, Goal reached at timestep: 50, States explored: 70, Total reward: -11.536404174362545
Episode 216, Goal reached at timestep: 282, States explored: 70, Total reward: -76.28449600243997
Episode 217, Goal reached at timestep: 93, States explored: 70, Total reward: -23.109689836433486
Episode 218, Goal reached at timestep: 317, States explored: 70, Total reward: -57.22086015576732
Episode 219, Goal reached at timestep: 325, States explored: 70, Total reward: -75.55775978133669
Episode 220, Goal reached at timestep: 155, States explored: 70, Total reward: -40.052123400013436
Episode 221, Goal reached at timestep: 203, States explored: 70, Total reward: -54.22311993946049
Episode 222, Goal reached at timestep: 187, States explored: 70, Total reward: -35.953742859769626
Episode 223, Goal reached at timestep: 299, States explored: 70, Total reward: -58.73761871058856
Episode 224, Goal reached at timestep: 529, States explored: 70, Total reward: -109.18738197011972
Episode 225, Goal reached at timestep: 68, States explored: 70, Total reward: -14.039121390317495
Episode 226, Goal reached at timestep: 175, States explored: 70, Total reward: -33.320989591969976
Episode 227, Goal reached at timestep: 138, States explored: 70, Total reward: -31.53131519440044
Episode 228, Goal reached at timestep: 55, States explored: 70, Total reward: -14.227454486674656
Episode 229, Goal reached at timestep: 125, States explored: 70, Total reward: -38.1284556927699
Episode 230, Goal reached at timestep: 153, States explored: 70, Total reward: -35.33928894151316
Episode 231, Goal reached at timestep: 118, States explored: 70, Total reward: -28.335743324586478
Episode 232, Goal reached at timestep: 205, States explored: 70, Total reward: -42.90142696634023
Episode 233, Goal reached at timestep: 235, States explored: 70, Total reward: -62.02755198601168
Episode 234, Goal reached at timestep: 344, States explored: 70, Total reward: -66.4648966959294
Episode 235, Goal reached at timestep: 255, States explored: 70, Total reward: -67.75225090109858
Episode 236, Goal reached at timestep: 183, States explored: 70, Total reward: -34.91182534031473
Episode 237, Goal reached at timestep: 380, States explored: 70, Total reward: -94.26386003886734
Episode 238, Goal reached at timestep: 120, States explored: 70, Total reward: -23.621021823357488
Episode 239, Goal reached at timestep: 213, States explored: 70, Total reward: -52.725244208167354
Episode 240, Goal reached at timestep: 406, States explored: 70, Total reward: -85.96171297574368
Episode 241, Goal reached at timestep: 287, States explored: 70, Total reward: -58.4044636618924
Episode 242, Goal reached at timestep: 309, States explored: 70, Total reward: -83.52446243986552
Episode 243, Goal reached at timestep: 646, States explored: 70, Total reward: -186.5843856155599
Episode 244, Goal reached at timestep: 431, States explored: 70, Total reward: -96.87013508768182
